Time,PID,Tickets,Pass,Stride,Runtime
12890,10,32,1306,1,1290
12890,11,8,2596,2,1290
12890,12,8,2594,2,1289
12890,13,8,2594,2,1289
12890,14,8,2594,2,1289
13770,1,8,4,2,23
13770,2,8,10,2,19
13770,5,1,1411088,1024,1378
13770,4,8,12,2,1410
13770,6,2,44112,32,1378
13770,7,4,5528,4,1378
13770,8,8,2772,2,1378
13770,9,16,1394,1,1378
13770,10,32,1394,1,1378
13770,11,8,2772,2,1378
13770,12,8,2770,2,1377
13770,13,8,2770,2,1377
13770,14,8,2770,2,1377
14600,1,8,4,2,23
14600,2,8,10,2,19
14600,5,1,1496080,1024,1461
14600,4,8,12,2,1493
14600,6,2,46768,32,1461
14600,7,4,5860,4,1461
14600,8,8,2938,2,1461
14600,9,16,1477,1,1461
14600,10,32,1477,1,1461
14600,11,8,2938,2,1461
14600,12,8,2936,2,1460
14600,13,8,2936,2,1460
14600,14,8,2936,2,1460
15480,1,8,4,2,23
15480,2,8,10,2,19
15480,5,1,1586192,1024,1549
15480,4,8,12,2,1581
15480,6,2,49584,32,1549
15480,7,4,6212,4,1549
15480,8,8,3114,2,1549
15480,9,16,1565,1,1549
15480,10,32,1565,1,1549
15480,11,8,3114,2,1549
15480,12,8,3112,2,1548
15480,13,8,3112,2,1548
15480,14,8,3112,2,1548
16360,1,8,4,2,23
16360,2,8,10,2,19
16360,5,1,1676304,1024,1637
16360,4,8,12,2,1669
16360,6,2,52400,32,1637
16360,7,4,6564,4,1637
16360,8,8,3290,2,1637
16360,9,16,1653,1,1637
16360,10,32,1653,1,1637
16360,11,8,3290,2,1637
16360,12,8,3288,2,1636
16360,13,8,3288,2,1636
16360,14,8,3288,2,1636
17190,1,8,4,2,23
17190,2,8,10,2,19
17190,5,1,1761296,1024,1720
17190,4,8,12,2,1752
17190,6,2,55056,32,1720
17190,7,4,6896,4,1720
17190,8,8,3456,2,1720
17190,9,16,1736,1,1720
17190,10,32,1736,1,1720
17190,11,8,3456,2,1720
17190,12,8,3454,2,1719
17190,13,8,3454,2,1719
17190,14,8,3454,2,1719
17190,15,8,8,2,0
17190,16,8,8,2,0
17190,17,8,8,2,0
17190,18,8,8,2,0
17190,19,8,8,2,0
17190,20,8,8,2,0
19175,1,8,4,2,23
19175,2,8,10,2,19
19175,5,1,1888272,1024,1844
19175,4,8,14,2,1876
19175,6,2,59024,32,1844
19175,7,4,7392,4,1844
19175,8,8,3704,2,1844
19175,9,16,1860,1,1844
19175,10,32,1860,1,1844
19175,11,8,3704,2,1844
19175,12,8,3702,2,1843
19175,13,8,3702,2,1843
19175,14,8,3702,2,1843
19175,15,8,264,2,124
19175,16,32,140,1,124
19175,17,8,264,2,124
19175,18,2,3984,32,124
19175,19,8,264,2,124
19175,20,8,264,2,124
21207,1,8,4,2,23
21207,2,8,10,2,19
21207,5,1,2018320,1024,1971
21207,4,8,14,2,2003
21207,6,2,63088,32,1971
21207,7,4,7900,4,1971
21207,8,8,3958,2,1971
21207,9,16,1987,1,1971
21207,10,32,1987,1,1971
21207,11,8,3958,2,1971
21207,12,8,3956,2,1970
21207,13,8,3956,2,1970
21207,14,8,3956,2,1970
21207,15,8,518,2,251
21207,16,32,267,1,251
21207,17,8,518,2,251
21207,18,2,8048,32,251
21207,19,8,518,2,251
21207,20,8,518,2,251
23095,1,8,4,2,23
23095,2,8,10,2,19
23095,5,1,2139152,1024,2089
23095,4,8,14,2,2121
23095,6,2,66864,32,2089
23095,7,4,8372,4,2089
23095,8,8,4194,2,2089
23095,9,16,2105,1,2089
23095,10,32,2105,1,2089
23095,11,8,4194,2,2089
23095,12,8,4192,2,2088
23095,13,8,4192,2,2088
23095,14,8,4192,2,2088
23095,15,8,754,2,369
23095,16,32,385,1,369
23095,17,8,754,2,369
23095,18,2,11824,32,369
23095,19,8,754,2,369
23095,20,8,754,2,369
25095,1,8,4,2,23
25095,2,8,10,2,19
25095,5,1,2267152,1024,2214
25095,4,8,14,2,2246
25095,6,2,70864,32,2214
25095,7,4,8872,4,2214
25095,8,8,4444,2,2214
25095,9,16,2230,1,2214
25095,10,32,2230,1,2214
25095,11,8,4444,2,2214
25095,12,8,4442,2,2213
25095,13,8,4442,2,2213
25095,14,8,4442,2,2213
25095,15,8,1004,2,494
25095,16,32,510,1,494
25095,17,8,1004,2,494
25095,18,2,15824,32,494
25095,19,8,1004,2,494
25095,20,8,1004,2,494
27095,1,8,4,2,23
27095,2,8,10,2,19
27095,5,1,2395152,1024,2339
27095,4,8,14,2,2371
27095,6,2,74864,32,2339
27095,7,4,9372,4,2339
27095,8,8,4694,2,2339
27095,9,16,2355,1,2339
27095,10,32,2355,1,2339
27095,11,8,4694,2,2339
27095,12,8,4692,2,2338
27095,13,8,4692,2,2338
27095,14,8,4692,2,2338
27095,15,8,1254,2,619
27095,16,32,635,1,619
27095,17,8,1254,2,619
27095,18,2,19824,32,619
27095,19,8,1254,2,619
27095,20,8,1254,2,619
29095,1,8,4,2,23
29095,2,8,10,2,19
29095,5,1,2523152,1024,2464
29095,4,8,14,2,2496
29095,6,2,78864,32,2464
29095,7,4,9872,4,2464
29095,8,8,4944,2,2464
29095,9,16,2480,1,2464
29095,10,32,2480,1,2464
29095,11,8,4944,2,2464
29095,12,8,4942,2,2463
29095,13,8,4942,2,2463
29095,14,8,4942,2,2463
29095,15,8,1504,2,744
29095,16,32,760,1,744
29095,17,8,1504,2,744
29095,18,2,23824,32,744
29095,19,8,1504,2,744
29095,20,8,1504,2,744
31095,1,8,4,2,23
31095,2,8,10,2,19
31095,5,1,2651152,1024,2589
31095,4,8,14,2,2621
31095,6,2,82864,32,2589
31095,7,4,10372,4,2589
31095,8,8,5194,2,2589
31095,9,16,2605,1,2589
31095,10,32,2605,1,2589
31095,11,8,5194,2,2589
31095,12,8,5192,2,2588
31095,13,8,5192,2,2588
31095,14,8,5192,2,2588
31095,15,8,1754,2,869
31095,16,32,885,1,869
31095,17,8,1754,2,869
31095,18,2,27824,32,869
31095,19,8,1754,2,869
31095,20,8,1754,2,869
33095,1,8,4,2,23
33095,2,8,10,2,19
33095,5,1,2779152,1024,2714
33095,4,8,14,2,2746
33095,6,2,86864,32,2714
33095,7,4,10872,4,2714
33095,8,8,5444,2,2714
33095,9,16,2730,1,2714
33095,10,32,2730,1,2714
33095,11,8,5444,2,2714
33095,12,8,5442,2,2713
33095,13,8,5442,2,2713
33095,14,8,5442,2,2713
33095,15,8,2004,2,994
33095,16,32,1010,1,994
33095,17,8,2004,2,994
33095,18,2,31824,32,994
33095,19,8,2004,2,994
33095,20,8,2004,2,994
34983,1,8,4,2,23
34983,2,8,10,2,19
34983,5,1,2899984,1024,2832
34983,4,8,14,2,2864
34983,6,2,90640,32,2832
34983,7,4,11344,4,2832
34983,8,8,5680,2,2832
34983,9,16,2848,1,2832
34983,10,32,2848,1,2832
34983,11,8,5680,2,2832
34983,12,8,5678,2,2831
34983,13,8,5678,2,2831
34983,14,8,5678,2,2831
34983,15,8,2240,2,1112
34983,16,32,1128,1,1112
34983,17,8,2240,2,1112
34983,18,2,35600,32,1112
34983,19,8,2240,2,1112
34983,20,8,2240,2,1112
36983,1,8,4,2,23
36983,2,8,10,2,19
36983,5,1,3027984,1024,2957
36983,4,8,14,2,2989
36983,6,2,94640,32,2957
36983,7,4,11844,4,2957
36983,8,8,5930,2,2957
36983,9,16,2973,1,2957
36983,10,32,2973,1,2957
36983,11,8,5930,2,2957
36983,12,8,5928,2,2956
36983,13,8,5928,2,2956
36983,14,8,5928,2,2956
36983,15,8,2490,2,1237
36983,16,32,1253,1,1237
36983,17,8,2490,2,1237
36983,18,2,39600,32,1237
36983,19,8,2490,2,1237
36983,20,8,2490,2,1237
38983,1,8,4,2,23
38983,2,8,10,2,19
38983,5,1,3155984,1024,3082
38983,4,8,14,2,3114
38983,6,2,98640,32,3082
38983,7,4,12344,4,3082
38983,8,8,6180,2,3082
38983,9,16,3098,1,3082
38983,10,32,3098,1,3082
38983,11,8,6180,2,3082
38983,12,8,6178,2,3081
38983,13,8,6178,2,3081
38983,14,8,6178,2,3081
38983,15,8,2740,2,1362
38983,16,32,1378,1,1362
38983,17,8,2740,2,1362
38983,18,2,43600,32,1362
38983,19,8,2740,2,1362
38983,20,8,2740,2,1362
40983,1,8,4,2,23
40983,2,8,10,2,19
40983,5,1,3283984,1024,3207
40983,4,8,14,2,3239
40983,6,2,102640,32,3207
40983,7,4,12844,4,3207
40983,8,8,6430,2,3207
40983,9,16,3223,1,3207
40983,10,32,3223,1,3207
40983,11,8,6430,2,3207
40983,12,8,6428,2,3206
40983,13,8,6428,2,3206
40983,14,8,6428,2,3206
40983,15,8,2990,2,1487
40983,16,32,1503,1,1487
40983,17,8,2990,2,1487
40983,18,2,47600,32,1487
40983,19,8,2990,2,1487
40983,20,8,2990,2,1487
42983,1,8,4,2,23
42983,2,8,10,2,19
42983,5,1,3411984,1024,3332
42983,4,8,14,2,3364
42983,6,2,106640,32,3332
42983,7,4,13344,4,3332
42983,8,8,6680,2,3332
42983,9,16,3348,1,3332
42983,10,32,3348,1,3332
42983,11,8,6680,2,3332
42983,12,8,6678,2,3331
42983,13,8,6678,2,3331
42983,14,8,6678,2,3331
42983,15,8,3240,2,1612
42983,16,32,1628,1,1612
42983,17,8,3240,2,1612
42983,18,2,51600,32,1612
42983,19,8,3240,2,1612
42983,20,8,3240,2,1612
44983,1,8,4,2,23
44983,2,8,10,2,19
44983,5,1,3539984,1024,3457
44983,4,8,14,2,3489
44983,6,2,110640,32,3457
44983,7,4,13844,4,3457
44983,8,8,6930,2,3457
44983,9,16,3473,1,3457
44983,10,32,3473,1,3457
44983,11,8,6930,2,3457
44983,12,8,6928,2,3456
44983,13,8,6928,2,3456
44983,14,8,6928,2,3456
44983,15,8,3490,2,1737
44983,16,32,1753,1,1737
44983,17,8,3490,2,1737
44983,18,2,55600,32,1737
44983,19,8,3490,2,1737
44983,20,8,3490,2,1737
46983,1,8,4,2,23
46983,2,8,10,2,19
46983,5,1,3667984,1024,3582
46983,4,8,14,2,3614
46983,6,2,114640,32,3582
46983,7,4,14344,4,3582
46983,8,8,7180,2,3582
46983,9,16,3598,1,3582
46983,10,32,3598,1,3582
46983,11,8,7180,2,3582
46983,12,8,7178,2,3581
46983,13,8,7178,2,3581
46983,14,8,7178,2,3581
46983,15,8,3740,2,1862
46983,16,32,1878,1,1862
46983,17,8,3740,2,1862
46983,18,2,59600,32,1862
46983,19,8,3740,2,1862
46983,20,8,3740,2,1862
48871,1,8,4,2,23
48871,2,8,10,2,19
48871,5,1,3788816,1024,3700
48871,4,8,14,2,3732
48871,6,2,118416,32,3700
48871,7,4,14816,4,3700
48871,8,8,7416,2,3700
48871,9,16,3716,1,3700
48871,10,32,3716,1,3700
